name;current_price;price_after;discount_rate;discount;category
        Молоко Эконива ультрапастерилизованное 2,5 % 1 л      ;700;700;0;FALSE;Milk-Cheese-Eggs
        Молоко Milkavita 3,6-4,2% 1 л      ;765;765;0;FALSE;Milk-Cheese-Eggs
        Молоко Milkavita 2,5% 1 л      ;710;710;0;FALSE;Milk-Cheese-Eggs
        Молоко Milkavita 3,2% 1 л      ;740;740;0;FALSE;Milk-Cheese-Eggs
        Молоко топленое 6,5% 500 мл      ;540;540;0;FALSE;Milk-Cheese-Eggs
        Молоко Milkavita Latte Barista ультрапастеризованное 3,2% 1 л      ;805;805;0;FALSE;Milk-Cheese-Eggs
        Молоко Село Зелёное ультрапастеризованное 2.5% 950 мл      ;960;960;0;FALSE;Milk-Cheese-Eggs
        Молоко Село Зелёное ультрапастеризованное 3.2% 950 мл      ;1000;1000;0;FALSE;Milk-Cheese-Eggs
        Молоко Parmalat ультрапастеризованное 3.5% 1 л      ;1350;1350;0;FALSE;Milk-Cheese-Eggs
        Молоко Parmalat ультрапастеризованное 1.8% 1 л      ;1235;1235;0;FALSE;Milk-Cheese-Eggs
        Молоко Parmalat Comfort безлактозное 3.5% 1 л      ;1755;1755;0;FALSE;Milk-Cheese-Eggs
        Молоко Parmalat Comfort безлактозное 1.8% 1 л      ;1495;1495;0;FALSE;Milk-Cheese-Eggs
        Молокосодержащий продукт Милоко 6% ультрапастеризованный с заменителем молочного жира 1,95л      ;1025;1140;10;TRUE;Milk-Cheese-Eggs
        Молокосодержащий продукт Буренкино 6% ультрапастеризованный с заменителем молочного жира 1,95 л      ;990;990;0;FALSE;Milk-Cheese-Eggs
        Молокосодержащий продукт Буренкино 3,2% ультрапастеризованный с заменителем молочного жира 1,95 л      ;930;930;0;FALSE;Milk-Cheese-Eggs
        Молокосодержащий продукт Буренкино 2,5% ультрапастеризованный с заменителем молочного жира 1,95 л      ;890;890;0;FALSE;Milk-Cheese-Eggs
        Молокосодержащий продукт Милоко 3,2% ультрапастеризованный с заменителем молочного жира 1,95л      ;1075;1075;0;FALSE;Milk-Cheese-Eggs
        Молокосодержащий продукт Милоко 6% ультрапастеризованный с заменителем молочного жира 0,95л      ;575;640;10;TRUE;Milk-Cheese-Eggs
        Молокосодержащий продукт Милоко 3,2% ультрапастеризованный с заменителем молочного жира 0,95л      ;520;575;9;TRUE;Milk-Cheese-Eggs
        Молокосодержащий продукт Милоко 2,5% ультрапастеризованный с заменителем молочного жира 0,95л      ;500;555;9;TRUE;Milk-Cheese-Eggs
        Молоко КХ Вак 500 мл      ;360;360;0;FALSE;Milk-Cheese-Eggs
        Молоко Food master Легкое утро безлактозное 2.5% 1 л      ;915;915;0;FALSE;Milk-Cheese-Eggs
        Масло Простоквашино сливочное 82% 180 г      ;1680;1680;0;FALSE;Milk-Cheese-Eggs
        Масло Простоквашино сливочное 72,5% 180 г      ;1605;1605;0;FALSE;Milk-Cheese-Eggs
        Сметана Простоквашино 15% 300 г      ;925;925;0;FALSE;Milk-Cheese-Eggs
        Сметана Простоквашино 20% 300 г      ;1070;1070;0;FALSE;Milk-Cheese-Eggs
        Сметана Простоквашино 25% 300 г      ;1235;1235;0;FALSE;Milk-Cheese-Eggs
        Молоко Шадринское пастеризованное 6% 950 мл      ;1299;1445;10;TRUE;Milk-Cheese-Eggs
        Напиток Alpro миндальный без сахара 1 л      ;2555;2555;0;FALSE;Milk-Cheese-Eggs
        Напиток Alpro растительный миндальный 750 мл      ;1525;1525;0;FALSE;Milk-Cheese-Eggs
        Сыворотка Амиран Immunivit натуральная 0,2 % 500 мл      ;130;130;0;FALSE;Milk-Cheese-Eggs
        Масло Амиран сливочное 82.5% 200 г      ;2030;2030;0;FALSE;Milk-Cheese-Eggs
        Простокваша Амиран кисломолочная 3,5% 380 г      ;375;375;0;FALSE;Milk-Cheese-Eggs
        Кефир Амиран живой 2,5% 0,5 л      ;460;460;0;FALSE;Milk-Cheese-Eggs
        Кефир Амиран живой 3,2% 0,5 л      ;500;500;0;FALSE;Milk-Cheese-Eggs
        Сметана Амиран 20% 150 г      ;410;410;0;FALSE;Milk-Cheese-Eggs
        Молоко Амиран живое 3,2% 0,8 л      ;740;740;0;FALSE;Milk-Cheese-Eggs
        Молоко Амиран живое 2,5% 0,8 л      ;690;690;0;FALSE;Milk-Cheese-Eggs
        Сметана Амиран 20% 380 г      ;965;965;0;FALSE;Milk-Cheese-Eggs
        Продукт Амиран кисломолочный  3,5% детский 180 г      ;245;245;0;FALSE;Milk-Cheese-Eggs
        Молоко Амиран 3,2 % детское 230 мл      ;250;250;0;FALSE;Milk-Cheese-Eggs
        Коктейль Растишка молочный Бабл-Гам 2% 210 г      ;385;385;0;FALSE;Milk-Cheese-Eggs
        Сметана Домик в деревне 20% 315 г      ;850;850;0;FALSE;Milk-Cheese-Eggs
        Сметана Эмиль 15% 380 г      ;960;960;0;FALSE;Milk-Cheese-Eggs
        Сухие сливки Frima 500 г      ;1600;1600;0;FALSE;Milk-Cheese-Eggs
        Айран Айс по-турецки 1,2% 260г ПЭТ      ;260;260;0;FALSE;Milk-Cheese-Eggs
        Напиток Савушкин сывороточный Свежесть пастеризованный с соком яблоко-гранат-лайм 850 г      ;620;620;0;FALSE;Milk-Cheese-Eggs
        Напиток Савушкин сывороточный Свежесть пастеризованный с соком тропик ПЭТ 850 гр      ;620;620;0;FALSE;Milk-Cheese-Eggs
        Напиток Савушкин сывороточный Свежесть пастеризованный с соком ананс-кокос ПЭТ 850 гр      ;620;620;0;FALSE;Milk-Cheese-Eggs
        Напиток Савушкин сывороточный Свежесть пастеризованный с соком тропик ПЭТ 415 гр      ;365;365;0;FALSE;Milk-Cheese-Eggs
        Молоко Эконива ультрапастерилизованное 1,5 % 1 л      ;635;635;0;FALSE;Milk-Cheese-Eggs
        Молоко Эконива ультрапастерилизованное 3,2 % 1 л      ;755;755;0;FALSE;Milk-Cheese-Eggs
        Молоко Эконива ультрапастерилизованное 2,5 % 1 л      ;700;700;0;FALSE;Milk-Cheese-Eggs
        Молоко Milkavita 3,6-4,2% 1 л      ;765;765;0;FALSE;Milk-Cheese-Eggs
        Молоко Milkavita 2,5% 1 л      ;710;710;0;FALSE;Milk-Cheese-Eggs
        Молоко Milkavita 3,2% 1 л      ;740;740;0;FALSE;Milk-Cheese-Eggs
        Молоко топленое 6,5% 500 мл      ;540;540;0;FALSE;Milk-Cheese-Eggs
        Молоко Milkavita Latte Barista ультрапастеризованное 3,2% 1 л      ;805;805;0;FALSE;Milk-Cheese-Eggs
        Молоко Село Зелёное ультрапастеризованное 2.5% 950 мл      ;960;960;0;FALSE;Milk-Cheese-Eggs
        Молоко Село Зелёное ультрапастеризованное 3.2% 950 мл      ;1000;1000;0;FALSE;Milk-Cheese-Eggs
        Молоко Parmalat ультрапастеризованное 3.5% 1 л      ;1350;1350;0;FALSE;Milk-Cheese-Eggs
        Молоко Parmalat ультрапастеризованное 1.8% 1 л      ;1235;1235;0;FALSE;Milk-Cheese-Eggs
        Молоко Parmalat Comfort безлактозное 3.5% 1 л      ;1755;1755;0;FALSE;Milk-Cheese-Eggs
        Молоко Parmalat Comfort безлактозное 1.8% 1 л      ;1495;1495;0;FALSE;Milk-Cheese-Eggs
        Молокосодержащий продукт Милоко 6% ультрапастеризованный с заменителем молочного жира 1,95л      ;1025;1140;10;TRUE;Milk-Cheese-Eggs
        Молокосодержащий продукт Буренкино 6% ультрапастеризованный с заменителем молочного жира 1,95 л      ;990;990;0;FALSE;Milk-Cheese-Eggs
        Молокосодержащий продукт Буренкино 3,2% ультрапастеризованный с заменителем молочного жира 1,95 л      ;930;930;0;FALSE;Milk-Cheese-Eggs
        Молокосодержащий продукт Буренкино 2,5% ультрапастеризованный с заменителем молочного жира 1,95 л      ;890;890;0;FALSE;Milk-Cheese-Eggs
        Молокосодержащий продукт Милоко 3,2% ультрапастеризованный с заменителем молочного жира 1,95л      ;1075;1075;0;FALSE;Milk-Cheese-Eggs
        Молокосодержащий продукт Милоко 6% ультрапастеризованный с заменителем молочного жира 0,95л      ;575;640;10;TRUE;Milk-Cheese-Eggs
        Молокосодержащий продукт Милоко 3,2% ультрапастеризованный с заменителем молочного жира 0,95л      ;520;575;9;TRUE;Milk-Cheese-Eggs
        Молокосодержащий продукт Милоко 2,5% ультрапастеризованный с заменителем молочного жира 0,95л      ;500;555;9;TRUE;Milk-Cheese-Eggs
        Молоко КХ Вак 500 мл      ;360;360;0;FALSE;Milk-Cheese-Eggs
        Молоко Food master Легкое утро безлактозное 2.5% 1 л      ;915;915;0;FALSE;Milk-Cheese-Eggs
        Масло Простоквашино сливочное 82% 180 г      ;1680;1680;0;FALSE;Milk-Cheese-Eggs
        Масло Простоквашино сливочное 72,5% 180 г      ;1605;1605;0;FALSE;Milk-Cheese-Eggs
        Сметана Простоквашино 15% 300 г      ;925;925;0;FALSE;Milk-Cheese-Eggs
        Сметана Простоквашино 20% 300 г      ;1070;1070;0;FALSE;Milk-Cheese-Eggs
        Сметана Простоквашино 25% 300 г      ;1235;1235;0;FALSE;Milk-Cheese-Eggs
        Молоко Шадринское пастеризованное 6% 950 мл      ;1299;1445;10;TRUE;Milk-Cheese-Eggs
        Напиток Alpro миндальный без сахара 1 л      ;2555;2555;0;FALSE;Milk-Cheese-Eggs
        Напиток Alpro растительный миндальный 750 мл      ;1525;1525;0;FALSE;Milk-Cheese-Eggs
        Сыворотка Амиран Immunivit натуральная 0,2 % 500 мл      ;130;130;0;FALSE;Milk-Cheese-Eggs
        Масло Амиран сливочное 82.5% 200 г      ;2030;2030;0;FALSE;Milk-Cheese-Eggs
        Простокваша Амиран кисломолочная 3,5% 380 г      ;375;375;0;FALSE;Milk-Cheese-Eggs
        Кефир Амиран живой 2,5% 0,5 л      ;460;460;0;FALSE;Milk-Cheese-Eggs
        Кефир Амиран живой 3,2% 0,5 л      ;500;500;0;FALSE;Milk-Cheese-Eggs
        Сметана Амиран 20% 150 г      ;410;410;0;FALSE;Milk-Cheese-Eggs
        Молоко Амиран живое 3,2% 0,8 л      ;740;740;0;FALSE;Milk-Cheese-Eggs
        Молоко Амиран живое 2,5% 0,8 л      ;690;690;0;FALSE;Milk-Cheese-Eggs
        Сметана Амиран 20% 380 г      ;965;965;0;FALSE;Milk-Cheese-Eggs
        Продукт Амиран кисломолочный  3,5% детский 180 г      ;245;245;0;FALSE;Milk-Cheese-Eggs
        Молоко Амиран 3,2 % детское 230 мл      ;250;250;0;FALSE;Milk-Cheese-Eggs
        Коктейль Растишка молочный Бабл-Гам 2% 210 г      ;385;385;0;FALSE;Milk-Cheese-Eggs
        Сметана Домик в деревне 20% 315 г      ;850;850;0;FALSE;Milk-Cheese-Eggs
        Сметана Эмиль 15% 380 г      ;960;960;0;FALSE;Milk-Cheese-Eggs
        Сухие сливки Frima 500 г      ;1600;1600;0;FALSE;Milk-Cheese-Eggs
        Айран Айс по-турецки 1,2% 260г ПЭТ      ;260;260;0;FALSE;Milk-Cheese-Eggs
        Напиток Савушкин сывороточный Свежесть пастеризованный с соком яблоко-гранат-лайм 850 г      ;620;620;0;FALSE;Milk-Cheese-Eggs
        Напиток Савушкин сывороточный Свежесть пастеризованный с соком тропик ПЭТ 850 гр      ;620;620;0;FALSE;Milk-Cheese-Eggs
        Напиток Савушкин сывороточный Свежесть пастеризованный с соком ананс-кокос ПЭТ 850 гр      ;620;620;0;FALSE;Milk-Cheese-Eggs
        Напиток Савушкин сывороточный Свежесть пастеризованный с соком тропик ПЭТ 415 гр      ;365;365;0;FALSE;Milk-Cheese-Eggs
        Молоко Эконива ультрапастерилизованное 1,5 % 1 л      ;635;635;0;FALSE;Milk-Cheese-Eggs
        Молоко Эконива ультрапастерилизованное 3,2 % 1 л      ;755;755;0;FALSE;Milk-Cheese-Eggs
        Молоко Эконива ультрапастерилизованное 2,5 % 1 л      ;700;700;0;FALSE;Milk-Cheese-Eggs
        Молоко Milkavita 3,6-4,2% 1 л      ;765;765;0;FALSE;Milk-Cheese-Eggs
        Молоко Milkavita 2,5% 1 л      ;710;710;0;FALSE;Milk-Cheese-Eggs
        Молоко Milkavita 3,2% 1 л      ;740;740;0;FALSE;Milk-Cheese-Eggs
        Молоко топленое 6,5% 500 мл      ;540;540;0;FALSE;Milk-Cheese-Eggs
        Молоко Milkavita Latte Barista ультрапастеризованное 3,2% 1 л      ;805;805;0;FALSE;Milk-Cheese-Eggs
        Молоко Село Зелёное ультрапастеризованное 2.5% 950 мл      ;960;960;0;FALSE;Milk-Cheese-Eggs
        Молоко Село Зелёное ультрапастеризованное 3.2% 950 мл      ;1000;1000;0;FALSE;Milk-Cheese-Eggs
        Молоко Parmalat ультрапастеризованное 3.5% 1 л      ;1350;1350;0;FALSE;Milk-Cheese-Eggs
